ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
2098;4;1;6;01/12/2022
2099;11;2;12;01/12/2022
2100;4;1;1;01/12/2022
2101;13;1;18;02/12/2022
2102;5;1;9;02/12/2022
2103;24;2;5;02/12/2022
2104;2;2;7;03/12/2022
2105;6;1;15;03/12/2022
2106;5;2;19;03/12/2022
2107;13;2;6;04/12/2022
2108;19;2;19;04/12/2022
2109;6;1;3;04/12/2022
2110;1;2;4;05/12/2022
2111;18;1;23;05/12/2022
2112;17;1;23;05/12/2022
2113;11;2;14;06/12/2022
2114;15;1;6;06/12/2022
2115;2;2;3;06/12/2022
2116;8;1;11;07/12/2022
2117;2;1;15;07/12/2022
2118;14;2;8;07/12/2022
2119;19;1;11;08/12/2022
2120;2;2;20;08/12/2022
2121;10;1;3;08/12/2022
2122;8;2;11;09/12/2022
2123;17;2;7;09/12/2022
2124;11;2;24;09/12/2022
2125;25;2;7;10/12/2022
2126;1;2;3;10/12/2022
2127;1;2;4;10/12/2022
2128;13;1;4;11/12/2022
2129;6;1;17;11/12/2022
2130;17;1;1;11/12/2022
2131;8;2;14;12/12/2022
2132;23;1;19;12/12/2022
2133;3;2;20;12/12/2022
2134;4;2;18;13/12/2022
2135;14;1;7;13/12/2022
2136;2;1;10;13/12/2022
2137;25;2;17;14/12/2022
2138;18;2;18;14/12/2022
2139;8;1;16;14/12/2022
2140;3;1;24;15/12/2022
2141;11;1;9;15/12/2022
2142;8;2;10;15/12/2022
2143;22;2;1;16/12/2022
2144;7;2;15;16/12/2022
2145;11;1;10;16/12/2022
2146;22;2;9;17/12/2022
2147;3;1;21;17/12/2022
2148;2;1;11;17/12/2022
2149;3;1;5;18/12/2022
2150;20;1;10;18/12/2022
2151;21;1;24;18/12/2022
2152;3;2;8;19/12/2022
2153;10;2;16;19/12/2022
2154;22;1;9;19/12/2022
2155;1;1;4;20/12/2022
2156;13;2;5;20/12/2022
2157;15;2;13;20/12/2022
2158;7;1;17;21/12/2022
2159;18;1;15;21/12/2022
2160;5;2;5;21/12/2022
2161;6;1;1;22/12/2022
2162;12;2;20;22/12/2022
2163;7;1;24;22/12/2022
2164;11;1;24;23/12/2022
2165;21;1;12;23/12/2022
2166;25;2;22;23/12/2022
2167;9;2;18;24/12/2022
2168;21;1;22;24/12/2022
2169;15;2;2;24/12/2022
2170;22;2;7;25/12/2022
2171;21;1;8;25/12/2022
2172;19;1;13;25/12/2022
2173;5;2;11;26/12/2022
2174;2;2;18;26/12/2022
2175;19;1;7;26/12/2022
2176;23;2;2;27/12/2022
2177;16;1;19;27/12/2022
2178;22;1;17;27/12/2022
2179;13;2;9;28/12/2022
2180;5;2;7;28/12/2022
2181;7;2;5;28/12/2022
2182;1;1;14;29/12/2022
2183;2;2;12;29/12/2022
2184;5;2;8;29/12/2022
2185;17;1;12;30/12/2022
2186;25;1;4;30/12/2022
2187;14;2;2;30/12/2022
2188;9;2;23;31/12/2022
2189;5;1;5;31/12/2022
2190;22;2;22;31/12/2022
