ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
271;3;1;3;01/04/2021
272;3;1;4;01/04/2021
273;23;1;14;01/04/2021
274;20;1;10;02/04/2021
275;14;1;3;02/04/2021
276;12;1;8;02/04/2021
277;9;1;16;03/04/2021
278;10;1;18;03/04/2021
279;14;1;21;03/04/2021
280;19;1;23;04/04/2021
281;1;1;21;04/04/2021
282;25;1;18;04/04/2021
283;24;1;22;05/04/2021
284;16;1;10;05/04/2021
285;1;1;19;05/04/2021
286;3;1;6;06/04/2021
287;8;1;13;06/04/2021
288;16;1;1;06/04/2021
289;12;1;5;07/04/2021
290;19;1;22;07/04/2021
291;23;1;20;07/04/2021
292;17;1;5;08/04/2021
293;8;1;11;08/04/2021
294;20;1;10;08/04/2021
295;3;1;12;09/04/2021
296;5;1;3;09/04/2021
297;4;1;18;09/04/2021
298;21;1;6;10/04/2021
299;16;1;3;10/04/2021
300;14;1;17;10/04/2021
301;24;1;14;11/04/2021
302;15;1;9;11/04/2021
303;24;1;14;11/04/2021
304;10;1;14;12/04/2021
305;21;1;1;12/04/2021
306;25;1;21;12/04/2021
307;1;1;16;13/04/2021
308;10;1;18;13/04/2021
309;10;1;7;13/04/2021
310;20;1;21;14/04/2021
311;21;1;2;14/04/2021
312;2;1;22;14/04/2021
313;9;1;5;15/04/2021
314;13;1;10;15/04/2021
315;22;1;14;15/04/2021
316;11;1;8;16/04/2021
317;9;1;7;16/04/2021
318;14;1;12;16/04/2021
319;11;1;11;17/04/2021
320;6;1;7;17/04/2021
321;7;1;22;17/04/2021
322;20;1;22;18/04/2021
323;10;1;1;18/04/2021
324;4;1;22;18/04/2021
325;23;1;23;19/04/2021
326;7;1;13;19/04/2021
327;9;1;8;19/04/2021
328;5;1;23;20/04/2021
329;20;1;17;20/04/2021
330;11;1;14;20/04/2021
331;5;1;6;21/04/2021
332;8;1;11;21/04/2021
333;21;1;14;21/04/2021
334;2;1;16;22/04/2021
335;25;1;12;22/04/2021
336;12;1;10;22/04/2021
337;17;1;15;23/04/2021
338;4;1;5;23/04/2021
339;20;1;18;23/04/2021
340;3;1;9;24/04/2021
341;15;1;16;24/04/2021
342;22;1;7;24/04/2021
343;25;1;20;25/04/2021
344;17;1;9;25/04/2021
345;4;1;5;25/04/2021
346;21;1;11;26/04/2021
347;1;1;6;26/04/2021
348;9;1;17;26/04/2021
349;19;1;22;27/04/2021
350;20;1;10;27/04/2021
351;17;1;5;27/04/2021
352;11;1;24;28/04/2021
353;4;1;2;28/04/2021
354;24;1;1;28/04/2021
355;4;1;15;29/04/2021
356;10;1;13;29/04/2021
357;20;1;19;29/04/2021
358;7;1;16;30/04/2021
359;21;1;9;30/04/2021
360;10;1;15;30/04/2021
