ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
1189;24;2;1;01/02/2022
1190;7;1;24;01/02/2022
1191;11;2;5;01/02/2022
1192;18;2;20;02/02/2022
1193;11;2;11;02/02/2022
1194;8;1;7;02/02/2022
1195;14;2;11;03/02/2022
1196;17;1;14;03/02/2022
1197;4;2;20;03/02/2022
1198;1;1;9;04/02/2022
1199;8;2;8;04/02/2022
1200;1;2;11;04/02/2022
1201;6;2;7;05/02/2022
1202;18;1;22;05/02/2022
1203;15;2;16;05/02/2022
1204;1;1;20;06/02/2022
1205;22;1;8;06/02/2022
1206;16;2;20;06/02/2022
1207;7;1;17;07/02/2022
1208;1;2;24;07/02/2022
1209;4;2;18;07/02/2022
1210;1;1;11;08/02/2022
1211;24;2;20;08/02/2022
1212;16;1;17;08/02/2022
1213;20;2;10;09/02/2022
1214;1;1;9;09/02/2022
1215;23;2;13;09/02/2022
1216;19;2;18;10/02/2022
1217;25;2;18;10/02/2022
1218;6;2;13;10/02/2022
1219;20;2;19;11/02/2022
1220;11;2;19;11/02/2022
1221;25;2;23;11/02/2022
1222;24;1;3;12/02/2022
1223;25;2;8;12/02/2022
1224;11;2;15;12/02/2022
1225;10;2;9;13/02/2022
1226;20;1;17;13/02/2022
1227;24;2;17;13/02/2022
1228;7;1;13;14/02/2022
1229;19;1;21;14/02/2022
1230;25;1;7;14/02/2022
1231;9;1;15;15/02/2022
1232;20;1;2;15/02/2022
1233;20;2;10;15/02/2022
1234;24;2;22;16/02/2022
1235;2;1;22;16/02/2022
1236;16;2;2;16/02/2022
1237;19;1;22;17/02/2022
1238;6;1;8;17/02/2022
1239;18;1;24;17/02/2022
1240;15;2;13;18/02/2022
1241;21;2;13;18/02/2022
1242;22;1;11;18/02/2022
1243;19;2;21;19/02/2022
1244;12;2;15;19/02/2022
1245;1;2;4;19/02/2022
1246;12;2;19;20/02/2022
1247;18;1;15;20/02/2022
1248;4;1;22;20/02/2022
1249;16;2;1;21/02/2022
1250;25;2;9;21/02/2022
1251;6;2;11;21/02/2022
1252;23;2;7;22/02/2022
1253;4;2;11;22/02/2022
1254;13;1;21;22/02/2022
1255;10;1;20;23/02/2022
1256;8;2;11;23/02/2022
1257;12;1;10;23/02/2022
1258;24;1;21;24/02/2022
1259;14;1;9;24/02/2022
1260;20;1;3;24/02/2022
1261;7;2;2;25/02/2022
1262;1;2;19;25/02/2022
1263;9;1;11;25/02/2022
1264;3;2;20;26/02/2022
1265;11;1;13;26/02/2022
1266;10;2;14;26/02/2022
1267;19;1;5;27/02/2022
1268;15;1;10;27/02/2022
1269;3;2;5;27/02/2022
1270;4;2;15;28/02/2022
1271;24;2;16;28/02/2022
1272;24;1;15;28/02/2022
