ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
1825;12;2;21;01/09/2022
1826;16;1;2;01/09/2022
1827;11;2;24;01/09/2022
1828;20;1;23;02/09/2022
1829;20;2;3;02/09/2022
1830;15;1;6;02/09/2022
1831;5;1;11;03/09/2022
1832;22;1;1;03/09/2022
1833;1;1;10;03/09/2022
1834;4;1;22;04/09/2022
1835;12;2;12;04/09/2022
1836;5;2;13;04/09/2022
1837;13;1;2;05/09/2022
1838;4;2;3;05/09/2022
1839;18;2;3;05/09/2022
1840;22;2;15;06/09/2022
1841;5;1;18;06/09/2022
1842;10;2;17;06/09/2022
1843;20;1;13;07/09/2022
1844;1;2;14;07/09/2022
1845;2;1;12;07/09/2022
1846;25;1;3;08/09/2022
1847;8;2;3;08/09/2022
1848;3;2;8;08/09/2022
1849;11;1;7;09/09/2022
1850;23;2;10;09/09/2022
1851;25;1;10;09/09/2022
1852;3;2;21;10/09/2022
1853;18;1;3;10/09/2022
1854;4;1;22;10/09/2022
1855;10;2;19;11/09/2022
1856;1;1;6;11/09/2022
1857;21;2;9;11/09/2022
1858;6;1;13;12/09/2022
1859;2;2;24;12/09/2022
1860;15;1;1;12/09/2022
1861;19;2;12;13/09/2022
1862;3;2;14;13/09/2022
1863;17;1;10;13/09/2022
1864;22;2;10;14/09/2022
1865;18;2;11;14/09/2022
1866;12;2;22;14/09/2022
1867;4;2;20;15/09/2022
1868;10;1;13;15/09/2022
1869;25;2;21;15/09/2022
1870;3;1;19;16/09/2022
1871;15;2;22;16/09/2022
1872;2;1;17;16/09/2022
1873;24;2;3;17/09/2022
1874;13;2;10;17/09/2022
1875;6;1;12;17/09/2022
1876;23;1;6;18/09/2022
1877;6;1;9;18/09/2022
1878;25;2;23;18/09/2022
1879;25;2;24;19/09/2022
1880;21;2;1;19/09/2022
1881;16;2;7;19/09/2022
1882;4;2;16;20/09/2022
1883;8;1;19;20/09/2022
1884;4;2;20;20/09/2022
1885;7;2;3;21/09/2022
1886;18;2;24;21/09/2022
1887;15;1;11;21/09/2022
1888;6;2;17;22/09/2022
1889;19;2;15;22/09/2022
1890;8;2;10;22/09/2022
1891;8;1;20;23/09/2022
1892;20;2;17;23/09/2022
1893;24;1;21;23/09/2022
1894;1;1;17;24/09/2022
1895;5;2;20;24/09/2022
1896;25;2;6;24/09/2022
1897;15;2;18;25/09/2022
1898;22;1;10;25/09/2022
1899;13;2;21;25/09/2022
1900;15;2;21;26/09/2022
1901;21;2;1;26/09/2022
1902;7;2;17;26/09/2022
1903;4;2;18;27/09/2022
1904;10;1;4;27/09/2022
1905;21;1;8;27/09/2022
1906;22;1;23;28/09/2022
1907;21;1;4;28/09/2022
1908;6;1;21;28/09/2022
1909;23;2;5;29/09/2022
1910;23;2;17;29/09/2022
1911;17;2;23;29/09/2022
1912;24;2;21;30/09/2022
1913;5;2;22;30/09/2022
1914;14;2;24;30/09/2022
