ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
2008;19;1;17;01/11/2022
2009;7;1;15;01/11/2022
2010;10;1;11;01/11/2022
2011;23;2;6;02/11/2022
2012;4;1;21;02/11/2022
2013;17;1;16;02/11/2022
2014;23;2;16;03/11/2022
2015;3;2;21;03/11/2022
2016;15;2;23;03/11/2022
2017;5;2;19;04/11/2022
2018;9;1;15;04/11/2022
2019;5;1;20;04/11/2022
2020;5;1;15;05/11/2022
2021;7;1;3;05/11/2022
2022;21;1;18;05/11/2022
2023;17;1;12;06/11/2022
2024;8;1;4;06/11/2022
2025;14;2;10;06/11/2022
2026;11;1;7;07/11/2022
2027;14;2;10;07/11/2022
2028;13;2;21;07/11/2022
2029;4;1;8;08/11/2022
2030;20;2;19;08/11/2022
2031;20;1;2;08/11/2022
2032;20;2;18;09/11/2022
2033;5;2;10;09/11/2022
2034;11;2;2;09/11/2022
2035;16;1;10;10/11/2022
2036;24;1;23;10/11/2022
2037;22;1;1;10/11/2022
2038;20;1;20;11/11/2022
2039;20;1;12;11/11/2022
2040;16;2;15;11/11/2022
2041;4;2;22;12/11/2022
2042;19;2;23;12/11/2022
2043;9;1;23;12/11/2022
2044;6;1;13;13/11/2022
2045;20;2;5;13/11/2022
2046;23;2;7;13/11/2022
2047;25;1;5;14/11/2022
2048;14;1;6;14/11/2022
2049;22;2;20;14/11/2022
2050;3;2;3;15/11/2022
2051;10;1;13;15/11/2022
2052;21;2;11;15/11/2022
2053;18;1;12;16/11/2022
2054;13;2;16;16/11/2022
2055;16;1;16;16/11/2022
2056;11;1;11;17/11/2022
2057;13;2;24;17/11/2022
2058;20;1;22;17/11/2022
2059;1;1;15;18/11/2022
2060;15;1;15;18/11/2022
2061;23;2;21;18/11/2022
2062;4;2;12;19/11/2022
2063;5;1;22;19/11/2022
2064;23;1;3;19/11/2022
2065;14;1;23;20/11/2022
2066;24;2;21;20/11/2022
2067;12;1;3;20/11/2022
2068;14;2;5;21/11/2022
2069;25;2;7;21/11/2022
2070;17;2;10;21/11/2022
2071;25;2;21;22/11/2022
2072;8;1;11;22/11/2022
2073;25;2;10;22/11/2022
2074;24;2;17;23/11/2022
2075;24;2;1;23/11/2022
2076;23;1;13;23/11/2022
2077;1;2;4;24/11/2022
2078;18;2;8;24/11/2022
2079;2;1;11;24/11/2022
2080;23;2;9;25/11/2022
2081;1;2;19;25/11/2022
2082;3;2;17;25/11/2022
2083;12;2;21;26/11/2022
2084;12;2;14;26/11/2022
2085;14;2;13;26/11/2022
2086;3;2;13;27/11/2022
2087;1;1;9;27/11/2022
2088;3;2;5;27/11/2022
2089;5;1;9;28/11/2022
2090;11;2;19;28/11/2022
2091;19;1;20;28/11/2022
2092;8;1;17;29/11/2022
2093;9;2;8;29/11/2022
2094;10;2;8;29/11/2022
2095;20;2;24;30/11/2022
2096;17;2;10;30/11/2022
2097;7;1;6;30/11/2022
