ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
1915;17;1;8;01/10/2022
1916;7;2;14;01/10/2022
1917;23;1;3;01/10/2022
1918;12;1;12;02/10/2022
1919;3;1;10;02/10/2022
1920;7;1;10;02/10/2022
1921;21;1;9;03/10/2022
1922;11;1;21;03/10/2022
1923;6;1;17;03/10/2022
1924;4;2;24;04/10/2022
1925;16;1;20;04/10/2022
1926;9;2;2;04/10/2022
1927;6;1;10;05/10/2022
1928;24;2;12;05/10/2022
1929;15;2;24;05/10/2022
1930;16;2;12;06/10/2022
1931;23;2;8;06/10/2022
1932;25;1;11;06/10/2022
1933;16;1;9;07/10/2022
1934;8;2;16;07/10/2022
1935;1;1;12;07/10/2022
1936;1;1;2;08/10/2022
1937;18;2;21;08/10/2022
1938;4;1;22;08/10/2022
1939;5;1;23;09/10/2022
1940;7;2;7;09/10/2022
1941;12;1;15;09/10/2022
1942;8;2;13;10/10/2022
1943;9;2;7;10/10/2022
1944;12;2;10;10/10/2022
1945;18;1;4;11/10/2022
1946;19;2;11;11/10/2022
1947;11;2;3;11/10/2022
1948;12;1;6;12/10/2022
1949;2;2;21;12/10/2022
1950;15;2;16;12/10/2022
1951;18;1;22;13/10/2022
1952;4;1;5;13/10/2022
1953;17;1;12;13/10/2022
1954;20;1;22;14/10/2022
1955;17;1;19;14/10/2022
1956;25;2;10;14/10/2022
1957;17;2;19;15/10/2022
1958;5;1;7;15/10/2022
1959;8;2;23;15/10/2022
1960;11;1;4;16/10/2022
1961;22;2;24;16/10/2022
1962;7;2;1;16/10/2022
1963;19;1;9;17/10/2022
1964;4;2;5;17/10/2022
1965;8;2;21;17/10/2022
1966;13;2;23;18/10/2022
1967;1;1;9;18/10/2022
1968;24;1;7;18/10/2022
1969;8;2;22;19/10/2022
1970;2;2;15;19/10/2022
1971;16;2;10;19/10/2022
1972;5;2;11;20/10/2022
1973;3;2;14;20/10/2022
1974;3;2;10;20/10/2022
1975;1;1;21;21/10/2022
1976;21;2;15;21/10/2022
1977;2;2;19;21/10/2022
1978;13;2;24;22/10/2022
1979;13;2;16;22/10/2022
1980;18;2;24;22/10/2022
1981;3;1;4;23/10/2022
1982;4;2;20;23/10/2022
1983;20;2;23;23/10/2022
1984;23;1;9;24/10/2022
1985;1;1;19;24/10/2022
1986;7;1;12;24/10/2022
1987;2;2;21;25/10/2022
1988;21;2;12;25/10/2022
1989;12;1;10;25/10/2022
1990;8;1;23;26/10/2022
1991;10;2;21;26/10/2022
1992;10;1;9;26/10/2022
1993;2;2;8;27/10/2022
1994;21;1;15;27/10/2022
1995;19;1;7;27/10/2022
1996;18;1;20;28/10/2022
1997;2;2;2;28/10/2022
1998;19;1;11;28/10/2022
1999;3;2;8;29/10/2022
2000;3;1;10;29/10/2022
2001;8;1;20;29/10/2022
2002;21;2;18;30/10/2022
2003;1;2;4;30/10/2022
2004;7;1;1;30/10/2022
2005;23;2;21;31/10/2022
2006;13;2;13;31/10/2022
2007;16;2;8;31/10/2022
