ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
178;2;1;3;01/03/2021
179;17;1;24;01/03/2021
180;20;1;10;01/03/2021
181;12;1;14;02/03/2021
182;6;1;9;02/03/2021
183;18;1;13;02/03/2021
184;5;1;8;03/03/2021
185;17;1;13;03/03/2021
186;21;1;18;03/03/2021
187;23;1;7;04/03/2021
188;13;1;17;04/03/2021
189;24;1;23;04/03/2021
190;25;1;19;05/03/2021
191;16;1;1;05/03/2021
192;18;1;19;05/03/2021
193;10;1;7;06/03/2021
194;17;1;21;06/03/2021
195;19;1;7;06/03/2021
196;3;1;7;07/03/2021
197;23;1;7;07/03/2021
198;23;1;4;07/03/2021
199;22;1;12;08/03/2021
200;23;1;19;08/03/2021
201;7;1;4;08/03/2021
202;13;1;22;09/03/2021
203;22;1;11;09/03/2021
204;25;1;13;09/03/2021
205;22;1;9;10/03/2021
206;6;1;8;10/03/2021
207;18;1;24;10/03/2021
208;7;1;24;11/03/2021
209;5;1;4;11/03/2021
210;21;1;9;11/03/2021
211;11;1;17;12/03/2021
212;17;1;20;12/03/2021
213;15;1;21;12/03/2021
214;16;1;13;13/03/2021
215;2;1;19;13/03/2021
216;21;1;1;13/03/2021
217;25;1;8;14/03/2021
218;22;1;5;14/03/2021
219;25;1;16;14/03/2021
220;7;1;12;15/03/2021
221;11;1;23;15/03/2021
222;21;1;8;15/03/2021
223;23;1;5;16/03/2021
224;6;1;19;16/03/2021
225;14;1;7;16/03/2021
226;23;1;12;17/03/2021
227;11;1;13;17/03/2021
228;14;1;16;17/03/2021
229;5;1;15;18/03/2021
230;17;1;9;18/03/2021
231;4;1;4;18/03/2021
232;8;1;20;19/03/2021
233;19;1;7;19/03/2021
234;19;1;10;19/03/2021
235;24;1;4;20/03/2021
236;5;1;14;20/03/2021
237;10;1;21;20/03/2021
238;22;1;15;21/03/2021
239;21;1;22;21/03/2021
240;25;1;10;21/03/2021
241;13;1;21;22/03/2021
242;22;1;8;22/03/2021
243;5;1;12;22/03/2021
244;2;1;5;23/03/2021
245;13;1;8;23/03/2021
246;12;1;19;23/03/2021
247;23;1;8;24/03/2021
248;5;1;17;24/03/2021
249;8;2;8;24/03/2021
250;19;2;5;25/03/2021
251;13;1;21;25/03/2021
252;17;2;18;25/03/2021
253;25;1;19;26/03/2021
254;4;1;21;26/03/2021
255;20;1;4;26/03/2021
256;4;2;21;27/03/2021
257;4;2;8;27/03/2021
258;7;1;10;27/03/2021
259;17;1;8;28/03/2021
260;12;1;18;28/03/2021
261;21;2;1;28/03/2021
262;25;1;3;29/03/2021
263;24;1;3;29/03/2021
264;11;1;11;29/03/2021
265;23;1;17;30/03/2021
266;13;1;7;30/03/2021
267;11;1;8;30/03/2021
268;5;1;16;31/03/2021
269;20;1;6;31/03/2021
270;25;1;23;31/03/2021
