ID_Venda;ID_Produto;Qtd;ID_Colaborador;DataVenda
913;19;1;1;01/11/2021
914;7;2;13;01/11/2021
915;10;2;16;01/11/2021
916;23;1;23;02/11/2021
917;4;2;12;02/11/2021
918;17;1;7;02/11/2021
919;23;2;5;03/11/2021
920;3;2;20;03/11/2021
921;15;1;13;03/11/2021
922;5;1;11;04/11/2021
923;9;1;11;04/11/2021
924;5;2;5;04/11/2021
925;5;2;13;05/11/2021
926;7;2;23;05/11/2021
927;21;2;11;05/11/2021
928;17;2;5;06/11/2021
929;8;1;1;06/11/2021
930;14;2;12;06/11/2021
931;11;2;15;07/11/2021
932;14;1;4;07/11/2021
933;13;1;23;07/11/2021
934;4;1;8;08/11/2021
935;20;1;6;08/11/2021
936;20;1;1;08/11/2021
937;20;2;1;09/11/2021
938;5;1;16;09/11/2021
939;11;1;9;09/11/2021
940;16;1;15;10/11/2021
941;24;1;12;10/11/2021
942;22;2;3;10/11/2021
943;20;1;9;11/11/2021
944;20;2;14;11/11/2021
945;16;2;22;11/11/2021
946;4;1;12;12/11/2021
947;19;1;7;12/11/2021
948;9;1;3;12/11/2021
949;6;1;2;13/11/2021
950;20;1;23;13/11/2021
951;23;2;23;13/11/2021
952;25;2;15;14/11/2021
953;14;2;24;14/11/2021
954;22;2;21;14/11/2021
955;3;1;7;15/11/2021
956;10;2;6;15/11/2021
957;21;2;19;15/11/2021
958;18;1;12;16/11/2021
959;13;2;21;16/11/2021
960;16;2;4;16/11/2021
961;11;1;9;17/11/2021
962;13;2;24;17/11/2021
963;20;1;8;17/11/2021
964;1;2;17;18/11/2021
965;15;2;10;18/11/2021
966;23;2;24;18/11/2021
967;4;1;19;19/11/2021
968;5;2;3;19/11/2021
969;23;1;9;19/11/2021
970;14;2;13;20/11/2021
971;24;1;3;20/11/2021
972;12;2;8;20/11/2021
973;14;1;24;21/11/2021
974;25;2;11;21/11/2021
975;17;2;17;21/11/2021
976;25;2;15;22/11/2021
977;8;2;9;22/11/2021
978;25;1;1;22/11/2021
979;24;2;1;23/11/2021
980;24;1;22;23/11/2021
981;23;2;19;23/11/2021
982;1;1;3;24/11/2021
983;18;1;8;24/11/2021
984;2;2;6;24/11/2021
985;23;2;10;25/11/2021
986;1;2;24;25/11/2021
987;3;1;21;25/11/2021
988;12;2;16;26/11/2021
989;12;2;18;26/11/2021
990;14;2;20;26/11/2021
991;3;1;13;27/11/2021
992;1;2;5;27/11/2021
993;3;1;13;27/11/2021
994;5;1;12;28/11/2021
995;11;2;10;28/11/2021
996;19;1;2;28/11/2021
997;8;1;5;29/11/2021
998;9;1;11;29/11/2021
999;10;2;16;29/11/2021
1000;20;1;11;30/11/2021
1001;17;2;19;30/11/2021
1002;7;2;16;30/11/2021
