ProductID,Date,Zip,Units,Revenue
1052,2019-11-28,36608,1,246.697500
1052,2019-11-28,42003,1,246.697500
1052,2019-11-28,84790,1,246.697500
1052,2019-11-28,99503,1,246.697500
1052,2019-11-29,32727,1,246.697500
1052,2019-11-29,72762,1,246.697500
1052,2019-12-01,76541,1,246.697500
1052,2019-12-05,20634,1,246.697500
1052,2019-12-05,33178,1,246.697500
1052,2019-12-05,78572,1,246.697500
1052,2019-12-06,72762,1,246.697500
1052,2019-12-13,35043,1,246.697500
1052,2019-12-13,85138,1,246.697500
1052,2019-12-15,06360,1,246.697500
1052,2019-12-16,08721,1,246.697500
1052,2019-12-19,72058,1,246.697500
1052,2019-12-22,42635,1,246.697500
1052,2021-01-05,34747,1,246.697500
1052,2021-01-05,53085,1,246.697500
1052,2021-01-05,82414,1,246.697500
1052,2021-01-10,74021,1,246.697500
1052,2021-01-12,67207,1,246.697500
1052,2021-01-17,32577,1,246.697500
1052,2021-01-18,33467,1,246.697500
1052,2021-01-26,41339,1,246.697500
1052,2021-01-27,59404,1,246.697500
1052,2021-01-27,89084,2,493.395000
1052,2021-01-30,34251,1,246.697500
1052,2021-01-30,55126,1,246.697500
1052,2021-01-31,73527,1,246.697500
1052,2021-01-31,79331,1,246.697500
1052,2021-02-07,06770,1,246.697500
1052,2021-02-08,59105,1,246.697500
1052,2021-02-09,85635,1,246.697500
1052,2021-02-10,89506,1,246.697500
1052,2021-02-13,06370,1,246.697500
1052,2021-02-15,32966,1,246.697500
1052,2021-02-15,97496,1,246.697500
1052,2021-02-16,54156,1,246.697500
1052,2021-02-17,84121,1,246.697500
1052,2021-02-21,54401,1,246.697500
1052,2021-02-21,82001,1,246.697500
1052,2021-02-23,07480,1,246.697500
1052,2021-02-23,47803,1,246.697500
1052,2021-02-24,07403,1,246.697500
1052,2021-02-24,50263,1,246.697500
1052,2021-02-24,92683,1,246.697500
1052,2021-02-27,92008,1,246.697500
1052,2021-02-27,97138,1,246.697500
1052,2021-02-28,53703,1,246.697500
1052,2021-02-28,74019,1,246.697500
1052,2021-02-28,74701,1,246.697500
1052,2021-02-28,97223,1,246.697500
1052,2021-03-01,32968,1,246.697500
1052,2021-03-01,78704,1,246.697500
1052,2021-03-02,39465,2,493.395000
1052,2021-03-02,85206,1,246.697500
1052,2021-03-02,85225,1,246.697500
1052,2021-03-03,55434,1,246.697500
1052,2021-03-06,99503,1,246.697500
1052,2021-03-08,50659,1,246.697500
1052,2021-03-09,59714,1,246.697500
1052,2021-03-10,54981,1,246.697500
1052,2021-03-13,37029,1,246.697500
1052,2021-03-14,53536,1,246.697500
1052,2021-03-16,46615,1,246.697500
1052,2021-03-17,56011,1,246.697500
1052,2021-03-20,97520,1,246.697500
1052,2021-03-21,02878,1,246.697500
1052,2021-03-21,41102,1,246.697500
1052,2021-03-21,71602,1,246.697500
1052,2021-03-21,74429,1,246.697500
1052,2021-03-21,74859,1,246.697500
1052,2021-03-22,01745,1,246.697500
1052,2021-03-22,34683,1,246.697500
1052,2021-03-24,08302,1,246.697500
1052,2021-03-24,75248,1,246.697500
1052,2021-03-27,77356,1,246.697500
1052,2021-03-27,83634,1,246.697500
1052,2021-03-28,76016,1,246.697500
1052,2021-03-30,24747,1,246.697500
1052,2021-03-30,47501,1,246.697500
1052,2021-03-30,56097,1,246.697500
1052,2021-03-31,35620,1,246.697500
1052,2021-03-31,38585,1,246.697500
1052,2021-03-31,67133,1,246.697500
1052,2021-03-31,86038,1,246.697500
1052,2021-04-03,55110,1,246.697500
1052,2021-04-03,84095,1,246.697500
1052,2021-04-10,75140,1,246.697500
1052,2021-04-11,01532,1,246.697500
1052,2021-04-11,32305,1,246.697500
1052,2021-04-11,54476,1,246.697500
1052,2021-04-17,59014,1,246.697500
1052,2021-04-18,05701,1,246.697500
1052,2021-04-18,52175,1,246.697500
1052,2021-04-18,54880,1,246.697500
1052,2021-04-18,76657,1,246.697500
1052,2021-04-19,68756,1,246.697500
1052,2021-04-20,34104,1,246.697500
1052,2021-04-20,97267,1,246.697500
1052,2021-04-24,39208,1,246.697500
1052,2021-04-24,54947,1,246.697500
1052,2021-04-24,59937,1,246.697500
1052,2021-04-27,06413,1,246.697500
1052,2021-04-28,07834,1,246.697500
1052,2021-04-28,21111,1,246.697500
1052,2021-05-01,29301,1,246.697500
1052,2021-05-01,72601,1,246.697500
1052,2021-05-02,56601,1,246.697500
1052,2021-05-08,01085,1,246.697500
1052,2021-05-10,83338,1,246.697500
1052,2021-05-11,77657,1,246.697500
1052,2021-05-15,08092,1,246.697500
1052,2021-05-15,19971,1,246.697500
1052,2021-05-15,32713,1,246.697500
1052,2021-05-15,73115,2,493.395000
1052,2021-05-16,46385,1,246.697500
1052,2021-05-17,47150,1,246.697500
1052,2021-05-17,72762,1,246.697500
1052,2021-05-18,73505,1,246.697500
1052,2021-05-19,01027,1,246.697500
1052,2021-05-19,64152,1,246.697500
1052,2021-05-23,74030,1,246.697500
1052,2021-05-24,06108,1,246.697500
1052,2021-05-24,08530,1,246.697500
1052,2021-05-24,36582,1,246.697500
1052,2021-05-24,84310,1,246.697500
1052,2021-05-25,85234,2,493.395000
1052,2021-05-26,59725,1,246.697500
1052,2021-05-26,82501,1,246.697500
1052,2021-05-26,82520,1,246.697500
1052,2021-05-31,02360,1,246.697500
1052,2021-05-31,58647,1,246.697500
1052,2021-05-31,59602,1,246.697500
1052,2021-05-31,85747,1,246.697500
1052,2021-05-31,97467,1,246.697500
1052,2021-06-01,06906,1,246.697500
1052,2021-06-07,26102,1,246.697500
1052,2021-06-07,97080,1,246.697500
1052,2021-06-16,70003,1,246.697500
1052,2021-06-19,08879,1,246.697500
1052,2021-06-21,46770,1,246.697500
1052,2021-06-21,86325,1,246.697500
1052,2021-06-23,67460,1,246.697500
1052,2021-06-28,56678,1,246.697500
1052,2021-06-28,76078,1,246.697500
1052,2021-06-30,05301,1,246.697500
1052,2021-06-30,06052,1,246.697500
1052,2021-06-30,47952,1,246.697500
1052,2021-06-30,67401,1,246.697500
1052,2021-06-30,83702,1,246.697500
1052,2021-07-05,06790,1,246.697500
1052,2021-07-05,89031,1,246.697500
1052,2021-07-07,72701,1,246.697500
1052,2021-07-10,57536,1,246.697500
1052,2021-07-12,07826,1,246.697500
1052,2021-07-13,29708,1,246.697500
1052,2021-07-19,57638,1,246.697500
1052,2021-07-20,84043,1,246.697500
1052,2021-07-24,35601,1,246.697500
1052,2021-07-27,89015,1,246.697500
1052,2021-07-31,01588,1,246.697500
1052,2021-07-31,34786,1,246.697500
1052,2021-08-08,82053,1,246.697500
1052,2021-08-10,57032,1,246.697500
1052,2021-08-10,89439,1,246.697500
1052,2021-08-11,83462,1,246.697500
1052,2021-08-14,32417,1,246.697500
1052,2021-08-16,21702,1,246.697500
1052,2021-08-16,97526,1,246.697500
1052,2021-08-23,20872,1,246.697500
1052,2021-08-24,84078,1,246.697500
