ProductID,Date,Zip,Units,Revenue,Country
1001,2021-07-31,1690,1,398.947500,Australia
1001,2021-07-31,4352,1,404.197500,Australia
1001,2021-07-31,5372,1,417.322500,Australia
1001,2021-08-16,3572,1,404.197500,Australia
1001,2021-08-20,3235,1,417.322500,Australia
1001,2021-08-25,3213,1,393.697500,Australia
1001,2021-09-13,3644,1,417.322500,Australia
1001,2021-09-16,3793,1,417.322500,Australia
1001,2021-09-21,5048,1,404.197500,Australia
1005,2021-08-08,5372,1,123.322500,Australia
1005,2021-08-16,3292,1,115.447500,Australia
1005,2021-08-21,2612,2,246.645000,Australia
1005,2021-08-21,4605,1,123.322500,Australia
1005,2021-09-28,3241,1,123.322500,Australia
1005,2021-09-28,907,1,110.197500,Australia
1005,2021-09-29,4754,1,123.322500,Australia
1005,2021-09-30,3835,1,123.322500,Australia
1005,2021-09-30,3992,1,118.072500,Australia
1017,2021-01-07,1182,1,272.947500,Australia
1017,2021-01-11,2777,1,288.697500,Australia
1017,2021-01-11,3682,1,288.697500,Australia
1017,2021-01-26,3533,1,314.947500,Australia
1017,2021-01-29,6068,1,288.697500,Australia
1017,2021-02-11,7212,1,288.697500,Australia
1017,2021-02-16,3699,1,288.697500,Australia
1017,2021-02-28,1316,1,288.697500,Australia
1017,2021-02-28,3054,1,288.697500,Australia
1017,2021-02-28,4383,1,288.697500,Australia
1017,2021-02-28,4891,1,288.697500,Australia
1017,2021-02-28,5090,1,288.697500,Australia
1017,2021-04-10,3889,1,288.697500,Australia
1017,2021-04-11,2134,1,288.697500,Australia
1045,2021-09-22,6168,1,215.197500,Australia
1045,2021-09-27,1693,1,215.197500,Australia
1052,2021-01-05,3995,1,246.697500,Australia
1052,2021-01-05,4400,1,246.697500,Australia
1052,2021-01-07,4105,1,246.697500,Australia
1052,2021-01-07,854,1,246.697500,Australia
1052,2021-01-10,3825,1,246.697500,Australia
1052,2021-01-10,5166,1,246.697500,Australia
1052,2021-01-11,4007,2,493.395000,Australia
1052,2021-01-11,5331,1,246.697500,Australia
1052,2021-01-12,4377,1,246.697500,Australia
1052,2021-01-12,6122,1,246.697500,Australia
1052,2021-01-14,2114,1,246.697500,Australia
1052,2021-01-17,2756,1,246.697500,Australia
1052,2021-01-18,3527,1,246.697500,Australia
1052,2021-01-24,7012,1,246.697500,Australia
1052,2021-01-25,4413,1,246.697500,Australia
1052,2021-01-26,5303,1,246.697500,Australia
1052,2021-01-28,5110,1,246.697500,Australia
1052,2021-01-28,6480,1,246.697500,Australia
1052,2021-01-31,3765,1,246.697500,Australia
1052,2021-01-31,4036,1,246.697500,Australia
1052,2021-02-01,4849,1,246.697500,Australia
1052,2021-02-07,5350,1,246.697500,Australia
1052,2021-02-09,3461,1,246.697500,Australia
1052,2021-02-14,4600,1,246.697500,Australia
1052,2021-02-14,5213,1,246.697500,Australia
1052,2021-02-16,3544,1,246.697500,Australia
1052,2021-02-16,3984,1,246.697500,Australia
1052,2021-02-23,2193,1,246.697500,Australia
1052,2021-02-28,1205,1,246.697500,Australia
1052,2021-02-28,2100,1,246.697500,Australia
1052,2021-02-28,4802,1,246.697500,Australia
1052,2021-02-28,5151,1,246.697500,Australia
1052,2021-02-28,6316,1,246.697500,Australia
1052,2021-03-05,3898,1,246.697500,Australia
1052,2021-03-05,5110,1,246.697500,Australia
1052,2021-03-12,1466,1,246.697500,Australia
1052,2021-03-13,5133,1,246.697500,Australia
1052,2021-03-20,1212,1,246.697500,Australia
1052,2021-03-26,2612,1,246.697500,Australia
1052,2021-03-26,5016,1,246.697500,Australia
1052,2021-03-28,3155,1,246.697500,Australia
1052,2021-05-06,3525,1,246.697500,Australia
1052,2021-05-09,3831,2,493.395000,Australia
1052,2021-05-16,5131,1,246.697500,Australia
1052,2021-06-08,2115,1,251.947500,Australia
1052,2021-06-12,6227,1,246.697500,Australia
1052,2021-06-13,4012,1,251.947500,Australia
1052,2021-06-20,2668,1,246.697500,Australia
1052,2021-06-21,2581,1,246.697500,Australia
1052,2021-07-04,4655,1,246.697500,Australia
1052,2021-07-26,1025,1,246.697500,Australia
1052,2021-07-27,4567,1,246.697500,Australia
1052,2021-08-02,5900,1,246.697500,Australia
1052,2021-08-08,3060,1,246.697500,Australia
1052,2021-08-08,3142,1,246.697500,Australia
1052,2021-08-10,885,1,246.697500,Australia
1052,2021-08-14,3024,1,246.697500,Australia
1052,2021-08-21,6215,1,246.697500,Australia
1052,2021-08-22,3786,1,246.697500,Australia
1052,2021-09-07,4035,1,246.697500,Australia
1052,2021-09-08,4275,1,246.697500,Australia
1052,2021-09-16,2134,1,246.697500,Australia
1052,2021-09-20,3793,1,246.697500,Australia
1052,2021-09-20,5254,1,246.697500,Australia
1052,2021-09-22,3595,1,246.697500,Australia
1052,2021-09-29,1189,1,246.697500,Australia
1052,2021-09-30,1118,1,246.697500,Australia
1052,2021-09-30,3437,1,246.697500,Australia
1052,2021-09-30,3756,2,493.395000,Australia
1053,2021-01-06,5351,1,272.947500,Australia
1053,2021-01-10,4575,1,272.947500,Australia
1053,2021-01-12,6121,1,272.947500,Australia
1053,2021-01-14,3898,1,272.947500,Australia
1053,2021-01-18,1148,1,272.947500,Australia
1053,2021-01-21,2590,1,272.947500,Australia
1053,2021-01-24,3929,1,272.947500,Australia
1053,2021-01-26,1800,1,272.947500,Australia
1053,2021-01-27,2015,1,272.947500,Australia
1053,2021-01-27,3040,1,272.947500,Australia
1053,2021-01-27,4106,1,272.947500,Australia
1053,2021-01-28,1127,1,272.947500,Australia
1053,2021-02-04,4165,1,272.947500,Australia
1053,2021-02-04,5291,1,272.947500,Australia
1053,2021-02-07,5064,1,272.947500,Australia
1053,2021-02-08,2293,1,272.947500,Australia
1053,2021-02-08,3089,1,272.947500,Australia
